epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.3347,0.29972,0.7209,1,0.89547,0.000552379,0.000552379,0.000552379
2,77.6521,0.21358,0.71715,1,1.00361,0.00108611,0.00108611,0.00108611
3,112.854,0.24918,0.74468,1,0.57408,0.00159783,0.00159783,0.00159783
4,151.105,0.24436,0.83605,1,0.43827,0.00156798,0.00156798,0.00156798
5,187.459,0.19201,0.81852,1,0.4347,0.00153497,0.00153497,0.00153497
6,222.644,0.21332,0.73592,1,0.57764,0.00150197,0.00150197,0.00150197
7,259.2,0.16029,0.82979,1,0.40897,0.00146896,0.00146896,0.00146896
8,294.983,0.14865,0.73842,1,0.64917,0.00143595,0.00143595,0.00143595
9,331.54,0.14012,0.8035,1,0.44864,0.00140295,0.00140295,0.00140295
10,367.718,0.1339,0.8035,1,0.52115,0.00136994,0.00136994,0.00136994
11,402.384,0.11286,0.60701,1,1.08316,0.00133693,0.00133693,0.00133693
12,438.351,0.09691,0.77597,1,0.61417,0.00130393,0.00130393,0.00130393
13,474.499,0.09454,0.77597,1,0.80516,0.00127092,0.00127092,0.00127092
14,509.467,0.0938,0.87109,1,0.35609,0.00123791,0.00123791,0.00123791
15,547.057,0.08761,0.78098,1,0.73469,0.00120491,0.00120491,0.00120491
16,582.604,0.07341,0.81227,1,0.56806,0.0011719,0.0011719,0.0011719
17,617.985,0.07477,0.77972,1,0.65867,0.00113889,0.00113889,0.00113889
18,653.779,0.06815,0.80601,1,0.6097,0.00110589,0.00110589,0.00110589
19,688.273,0.05892,0.79224,1,0.7672,0.00107288,0.00107288,0.00107288
20,725.903,0.089,0.84856,1,0.399,0.00103987,0.00103987,0.00103987
21,761.923,0.07539,0.89362,1,0.30062,0.00100687,0.00100687,0.00100687
22,796.626,0.05078,0.76471,1,0.84814,0.000973861,0.000973861,0.000973861
23,832.616,0.04458,0.72215,1,1.12678,0.000940855,0.000940855,0.000940855
24,868.515,0.05406,0.78098,1,0.66935,0.000907848,0.000907848,0.000907848
25,904.233,0.04391,0.76471,1,0.92163,0.000874842,0.000874842,0.000874842
26,941.931,0.0444,0.81602,1,0.60331,0.000841835,0.000841835,0.000841835
27,976.593,0.04855,0.79349,1,0.68578,0.000808828,0.000808828,0.000808828
28,1012.42,0.03724,0.77472,1,0.78639,0.000775822,0.000775822,0.000775822
29,1047.44,0.04644,0.79224,1,0.69688,0.000742815,0.000742815,0.000742815
30,1082.82,0.04362,0.83855,1,0.63893,0.000709809,0.000709809,0.000709809
31,1120.11,0.03637,0.81101,1,0.67023,0.000676802,0.000676802,0.000676802
32,1154.98,0.03827,0.83479,1,0.56585,0.000643795,0.000643795,0.000643795
33,1190.9,0.02603,0.84481,1,0.59466,0.000610789,0.000610789,0.000610789
34,1226.82,0.02298,0.82353,1,0.69832,0.000577782,0.000577782,0.000577782
35,1261.95,0.08568,0.79224,1,0.97246,0.000544776,0.000544776,0.000544776
36,1298.09,0.02894,0.83605,1,0.60628,0.000511769,0.000511769,0.000511769
37,1335.34,0.03055,0.86483,1,0.42861,0.000478762,0.000478762,0.000478762
38,1370.22,0.03026,0.80476,1,0.75732,0.000445756,0.000445756,0.000445756
39,1406.18,0.0196,0.81977,1,0.62408,0.000412749,0.000412749,0.000412749
40,1441.23,0.021,0.83354,1,0.69997,0.000379743,0.000379743,0.000379743
41,1478.24,0.02076,0.80476,1,0.76869,0.000346736,0.000346736,0.000346736
42,1514.28,0.05661,0.84731,1,0.61285,0.000313729,0.000313729,0.000313729
43,1551.05,0.04807,0.86859,1,0.46058,0.000280723,0.000280723,0.000280723
44,1586.49,0.01785,0.85857,1,0.51615,0.000247716,0.000247716,0.000247716
45,1622.47,0.01744,0.81227,1,0.70471,0.00021471,0.00021471,0.00021471
46,1657.43,0.0157,0.84856,1,0.62746,0.000181703,0.000181703,0.000181703
47,1693.76,0.03817,0.85106,1,0.55258,0.000148696,0.000148696,0.000148696
48,1731.26,0.01,0.85982,1,0.46677,0.00011569,0.00011569,0.00011569
49,1766.04,0.00989,0.83354,1,0.63255,8.26832e-05,8.26832e-05,8.26832e-05
50,1802.1,0.01192,0.85357,1,0.52585,4.96766e-05,4.96766e-05,4.96766e-05
